,AIC,BIC,Model,id,horizons,environment,t
463,10.278096606843517,9.496972431711718,IMD,461,5,rough,0.6
464,12.288536468028417,11.507412292896618,IMD,461,5,rough,0.8
465,11.262684004873329,10.48155982974153,IMD,461,5,rough,0.0
466,14.717784415179931,13.936660240048132,IMD,461,5,rough,0.2
467,14.245639083056924,13.464514907925125,IMD,461,5,rough,0.4
468,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.6
469,10.281600048078076,9.500475872946277,IMD,461,5,rough,0.8
470,13.227955597261097,12.446831422129298,IMD,461,5,rough,0.0
471,14.833071781172784,14.051947606040985,IMD,461,5,rough,0.2
472,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.4
473,23.359328704184254,23.964498890172344,IMD,461,10,rough,0.2
474,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.6
475,12.991129450482383,12.210005275350584,IMD,461,5,rough,0.8
476,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.0
477,10.285076136544632,9.503951961412833,IMD,461,5,rough,0.2
478,14.974437173133008,14.19331299800121,IMD,461,5,rough,0.4
479,14.156145075746545,13.375020900614746,IMD,461,5,rough,0.6
480,14.986122886681086,14.204998711549287,IMD,461,5,rough,0.8
481,14.836820248450927,14.055696073319128,IMD,461,5,rough,0.0
482,14.98612288668103,14.204998711549232,IMD,461,5,rough,0.2
483,14.986122886681098,14.2049987115493,IMD,461,5,rough,0.4
484,22.787329660787197,23.392499846775287,IMD,461,10,rough,0.4
485,13.513413512161527,12.732289337029728,IMD,461,5,rough,0.6
486,13.324492234249457,12.543368059117658,IMD,461,5,rough,0.8
487,14.675586145888794,13.894461970756995,IMD,461,5,rough,0.0
488,14.96346250768369,14.182338332551891,IMD,461,5,rough,0.2
489,14.986122886681075,14.204998711549276,IMD,461,5,rough,0.4
490,13.7562004656766,12.9750762905448,IMD,461,5,rough,0.6
491,14.986122886681084,14.204998711549285,IMD,461,5,rough,0.8
492,11.316378910072913,10.535254734941114,IMD,461,5,rough,0.0
493,25.626043768675274,26.231213954663367,IMD,461,10,smooth,1.0
494,14.102716180610178,13.32159200547838,IMD,461,5,rough,0.2
495,25.473037559943123,26.078207745931216,IMD,461,10,rough,0.0
496,14.157612672449062,13.376488497317263,IMD,461,5,rough,0.4
497,14.354815886873254,13.573691711741455,IMD,461,5,rough,0.6
498,14.986122886681096,14.204998711549297,IMD,461,5,rough,0.8
499,13.256994418958747,12.475870243826948,IMD,461,5,rough,0.0
500,14.062487025908466,13.281362850776667,IMD,461,5,rough,0.2
501,14.444893061265768,13.663768886133969,IMD,461,5,rough,0.4
502,10.624497718898308,9.843373543766509,IMD,461,5,rough,0.6
